"maling_files_link","Måling","N","omraade","valg","parti","prosent","mandat","stemmer","Dato","total_mandat_fylke"
"?cmd=Maling&gallupid=1110","Sentio / SMP - 31/5-2011",1000,"Hele landet","Stortingsvalg","Ap",30.6,55,306,2011-05-31,169
"?cmd=Maling&gallupid=1111","InFact / Lillesandsp - 31/5-2011",151,"Birkenes","Kommunestyrevalg","Ap",16.7,3,25,2011-05-31,21
"?cmd=Maling&gallupid=1112","InFact / Lillesandsp - 31/5-2011",373,"Lillesand","Kommunestyrevalg","Ap",12.1,3,45,2011-05-31,27
"?cmd=Maling&gallupid=1113","Sentio / TB - 31/5-2011",400,"Nøtterøy","Kommunestyrevalg","Ap",24.3,11,97,2011-05-31,41
"?cmd=Maling&gallupid=1114","Sentio / TB - 31/5-2011",300,"Tjøme","Kommunestyrevalg","Ap",29.6,6,89,2011-05-31,19
"?cmd=Maling&gallupid=1115","Norfakta / FF - 31/5-2011",200,"Åfjord","Kommunestyrevalg","Ap",34.5,7,69,2011-05-31,21
"?cmd=Maling&gallupid=1116","Sentio / TB - 1/6-2011",400,"Stokke","Kommunestyrevalg","Ap",31.7,9,127,2011-06-01,29
"?cmd=Maling&gallupid=1117","Sentio / TB - 1/6-2011",300,"Re (f.o.m. 2002)","Kommunestyrevalg","Ap",17.1,3,51,2011-06-01,19
"?cmd=Maling&gallupid=1118","InFact / DT - 1/6-2011",510,"Eigersund","Kommunestyrevalg","Ap",23.1,8,118,2011-06-01,31
"?cmd=Maling&gallupid=1119","Norfakta / FF - 3/6-2011",200,"Leksvik","Kommunestyrevalg","Ap",27.9,7,56,2011-06-03,25
"?cmd=Maling&gallupid=1120","Sentio / TB - 3/6-2011",400,"Tønsberg","Kommunestyrevalg","Ap",26.1,11,104,2011-06-03,39
"?cmd=Maling&gallupid=1121","InFact / Frp - 3/6-2011",161,"Vågsøy","Kommunestyrevalg","Ap",13.7,4,22,2011-06-03,27
"?cmd=Maling&gallupid=1122","InFact / Frp - 4/6-2011",241,"Flora","Kommunestyrevalg","Ap",25.4,9,61,2011-06-04,35
"?cmd=Maling&gallupid=1123","InFact / Frp - 4/6-2011",150,"Bremanger","Kommunestyrevalg","Ap",31.5,7,47,2011-06-04,23
"?cmd=Maling&gallupid=1124","Sentio / Firda / SA / Firdap. - 4/6-2011",500,"Sogn og Fjordane","Fylkestingsvalg","Ap",22.8,9,114,2011-06-04,39
"?cmd=Maling&gallupid=1125","MI / GD - 4/6-2011",600,"Oppland","Fylkestingsvalg","Ap",39.5,15,237,2011-06-04,37
"?cmd=Maling&gallupid=1126","Respons / BT - 4/6-2011",601,"Os (Hord.)","Kommunestyrevalg","Ap",18.2,6,109,2011-06-04,35
"?cmd=Maling&gallupid=1127","Norfakta / LLA - 6/6-2011",1000,"Hele landet","Kommunestyrevalg","Ap",26.1,3077,261,2011-06-06,10952
"?cmd=Maling&gallupid=1128","TNS / TV2 - 7/6-2011",969,"Hele landet","Stortingsvalg","Ap",30.3,54,294,2011-06-07,169
